"_id","emotion","id","negative_prob","positive_prob"
"6039c317c24900009500a1c4","-1","Fhf8hysSQ","0.986647","0.0133526"
"6039c317c24900009500a1c5","1","A64bp8HCM","0.102366","0.897634"
"6039c317c24900009500a1c6","1","zActytvG0","0.117383","0.882618"
"6039c317c24900009500a1c7","-1","IxZbRzROv","0.999998","1.98633e-06"
"6039c317c24900009500a1c8","1","CegItoKCv","0.0535991","0.946401"
"6039c317c24900009500a1c9","-1","yAk0oxn3f","0.985838","0.014162"
"6039c317c24900009500a1ca","-1","z8GWzu290","0.995857","0.00414298"
"6039c317c24900009500a1cb","-1","zprtVmxFY","0.79825","0.20175"
"6039c317c24900009500a1cc","-1","BEkKwpUCm","0.85069","0.14931"
"6039c317c24900009500a1cd","-1","HDZKrg9MW","0.979353","0.0206468"
"6039c317c24900009500a1ce","0","IocdREafF","0.52815","0.47185"
"6039c317c24900009500a1cf","1","CvUiB5Enu","0.0754611","0.924539"
"6039c317c24900009500a1d0","1","zeZgR8AMH","0.273403","0.726597"
"6039c317c24900009500a1d1","1","E0nPVuvlJ","0.378954","0.621046"
"6039c317c24900009500a1d2","1","AmneDq96C","0.0195989","0.980401"
"6039c317c24900009500a1d3","1","zt24PoAyZ","0.410163","0.589837"
"6039c317c24900009500a1d4","-1","zvso7rm1u","0.995603","0.00439666"
"6039c317c24900009500a1d5","1","CbrLA3VZ0","0.104446","0.895554"
"6039c317c24900009500a1d6","-1","CwenYFTMW","0.999647","0.000353407"
"6039c317c24900009500a1d7","1","AuSUHchpD","0.0485056","0.951494"
"6039c317c24900009500a1d8","-1","Cv1CFjpCm","0.999364","0.000635691"
"6039c317c24900009500a1d9","-1","z9bqUuzT6","0.999693","0.000307071"
"6039c317c24900009500a1da","-1","DhaRu2eO5","0.99971","0.000290081"
"6039c317c24900009500a1db","-1","F8lTUvKmR","0.999968","3.22223e-05"
"6039c317c24900009500a1dc","1","Gqisem7SZ","0.107082","0.892918"
"6039c317c24900009500a1dd","1","zChhOwY0m","0.0138989","0.986101"
"6039c317c24900009500a1de","-1","zE89T9bmo","0.751939","0.248061"
